# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/D9_MP_supertree_trimmed_rooted.tre	(..)/17_F50_i25s90l50_parsC_rooted.tre	2758	0.09340157192469384	511.0	5471.0	0.9134438305709024	0.8998548621190131	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S11_MP_supertree_rooted.tre	(..)/17_F50_i25s90l50_parsC_rooted.tre	2758	0.1055787752135199	581.0	5503.0	0.8958864215507827	0.8929608127721336	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S13_MP_supertree_rooted.tre	(..)/17_F50_i25s90l50_parsC_rooted.tre	2758	0.1056644880174292	582.0	5508.0	0.8949854651162791	0.8936865021770682	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S16_MP_supertree_rooted.tre	(..)/17_F50_i25s90l50_parsC_rooted.tre	2758	0.10275962236746551	566.0	5508.0	0.8978924418604651	0.8965892597968069	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S19_MP_supertree_trimmed_rooted.tre	(..)/17_F50_i25s90l50_parsC_rooted.tre	2758	0.10247093023255814	564.0	5504.0	0.8988355167394468	0.8962264150943396	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S9_MP_supertree_rooted.tre	(..)/17_F50_i25s90l50_parsC_rooted.tre	2758	0.1104238675641259	607.0	5497.0	0.8920102152499088	0.887155297532656	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/full-raxml-itol-export_2758_reconciled.tre	(..)/17_F50_i25s90l50_parsC_rooted.tre	2758	0.08817126269956459	486.0	5512.0	0.9118287373004355	0.9118287373004355	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/fulldata_parsD_rooted.tre	(..)/17_F50_i25s90l50_parsC_rooted.tre	2758	0.09071117561683599	500.0	5512.0	0.909288824383164	0.909288824383164	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/C14_MP_supertree_rooted.tre	(..)/C12_MP_supertree_rooted.tre	2760	0.004728992360858494	26.0	5498.0	0.9945474372955289	0.995995631598107	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/C18_MP_supertree_rooted.tre	(..)/C12_MP_supertree_rooted.tre	2760	0.007630813953488372	42.0	5504.0	0.99056945955749	0.9941754641427011	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/D8_MP_supertree_rooted.tre	(..)/C12_MP_supertree_rooted.tre	2758	0.017827605219628746	97.0	5441.0	0.9914656771799629	0.9730517115804806	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/D9_MP_supertree_trimmed_rooted.tre	(..)/C12_MP_supertree_rooted.tre	2758	0.013733748397729353	75.0	5461.0	0.9918968692449356	0.9806991988346686	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S11_MP_supertree_rooted.tre	(..)/C12_MP_supertree_rooted.tre	2758	0.062079009648643727	341.0	5493.0	0.9377502730251183	0.9380917698470502	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S13_MP_supertree_rooted.tre	(..)/C12_MP_supertree_rooted.tre	2758	0.059658057475445614	328.0	5498.0	0.9393168604651163	0.9413692643845594	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S16_MP_supertree_rooted.tre	(..)/C12_MP_supertree_rooted.tre	2758	0.0607493634048745	334.0	5498.0	0.9382267441860465	0.9402767662053897	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S19_MP_supertree_trimmed_rooted.tre	(..)/C12_MP_supertree_rooted.tre	2758	0.058245358572988716	320.0	5494.0	0.9414119359534207	0.9420975965040058	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S9_MP_supertree_rooted.tre	(..)/C12_MP_supertree_rooted.tre	2758	0.0668853654091489	367.0	5487.0	0.9339657059467348	0.9322651128914785	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/full-raxml-itol-export_2758_reconciled.tre	(..)/C12_MP_supertree_rooted.tre	2758	0.027626317702653582	152.0	5502.0	0.9706095791001451	0.9741442097596504	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/fulldata_parsD_rooted.tre	(..)/C12_MP_supertree_rooted.tre	2758	0.030534351145038167	168.0	5502.0	0.9677068214804064	0.9712308812818645	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
