taxon,palgalans,nonlb,water,raptor,cor1,alcedin,pici,par+,psit,psitac,sub1,furn1,furn2,furn3,thm1,thm2,sub2,sub3,tyr1,tyr2,tyr3,tyr4,osc1,osc2,osc3
APODIFORMES_Trochilidae_colibri coruscans,,1,,,,,,,,,,,,,,,,,,,,,,,
APODIFORMES_Trochilidae_Calypte anna,,1,,,,,,,,,,,,,,,,,,,,,,,
MUSOPHAGIFORMES_Musophagidae_Corythaeola cristata,1,1,1, , ,,, ,,,,,,,,,,,,,,,,,
MUSOPHAGIFORMES_Musophagidae_crinifer piscator,,1,,1,,,,1,,,,,,,,,,,,,,,,,
MUSOPHAGIFORMES_Musophagidae_Tauraco erythrolophus,,1,,,1,,,,,,,,,,,,,,,,,,,,
OTIDIFORMES_Otididae_Ardeotis arabs,1,1, , , ,,, ,,,,,,,,,,,,,,,,,
OTIDIFORMES_Otididae_ardeotis kori,,1,,,,,,,,,,,,,,,,,,,,,,,
OTIDIFORMES_Otididae_Chlamydotis macqueenii,,1,,1,,,,,,,,,,,,,,,,,,,,,
OTIDIFORMES_Otididae_Chlamydotis undulata,,1,,,1,,,,,,,,,,,,,,,,,,,,
OTIDIFORMES_Otididae_lophotis ruficrista,,1,,,,,,1,,,,,,,,,,,,,,,,,
OTIDIFORMES_Otididae_Tetrax tetrax,,1,1,,,,,,,,,,,,,,,,,,,,,,
CUCULIFORMES_Cuculidae_crotophaga sulcirostris,,1, , , ,,, ,,,,,,,,,,,,,,,,,
CUCULIFORMES_Cuculidae_geococcyx californianus,,1,,1,,,,,,,,,,,,,,,,,,,,,
CUCULIFORMES_Cuculidae_centropus viridis3,,1,,,1,,,,,,,,,,,,,,,,,,,,
CUCULIFORMES_Cuculidae_coua cristata,,1,,,,,,1,,,,,,,,,,,,,,,,,
CUCULIFORMES_Cuculidae_phaenicophaeus curvirostris1,,1,1,,,,,,,,,,,,,,,,,,,,,,
CUCULIFORMES_Cuculidae_coccyzus americanus,,1,,,,,,,,,,,,,,,,,,,,,,,
CUCULIFORMES_Cuculidae_Cuculus canorus,,1,,,,,,,,,,,,,,,,,,,,,,,
MESITORNITHIFORMES_Mesitornithidae_Mesitornis unicolor,,1,1, , ,,, ,,,,,,,,,,,,,,,,,
MESITORNITHIFORMES_Mesitornithidae_monias benschi,,1,,1,1,,,,,,,,,,,,,,,,,,,,
PTEROCLIFORMES_Pteroclidae_syrrhaptes paradoxus,,1, , , ,,,1,,,,,,,,,,,,,,,,,
PTEROCLIFORMES_Pteroclidae_Pterocles gutturalis,,1,1,,,,,,,,,,,,,,,,,,,,,,
PTEROCLIFORMES_Pteroclidae_Pterocles orientalis,,1,,1,,,,,,,,,,,,,,,,,,,,,
PTEROCLIFORMES_Pteroclidae_pterocles namaqua,,1,,,1,,,,,,,,,,,,,,,,,,,,
COLUMBIFORMES_Columbidae_Columba livia,,1, , , ,,, ,,,,,,,,,,,,,,,,,
COLUMBIFORMES_Columbidae_Columba janthina,,1,1,,,,,,,,,,,,,,,,,,,,,,
COLUMBIFORMES_Columbidae_Patagioenas fasciata,,1,,1,,,,,,,,,,,,,,,,,,,,,
COLUMBIFORMES_Columbidae_Streptopelia turtur,,1,,,1,,,,,,,,,,,,,,,,,,,,
COLUMBIFORMES_Columbidae_columbina passerina2,,1,,,,,,1,,,,,,,,,,,,,,,,,
COLUMBIFORMES_Columbidae_geotrygon montana,,1,,,,,,,,,,,,,,,,,,,,,,,
COLUMBIFORMES_Columbidae_Pampusana beccarii,,1,,,,,,,,,,,,,,,,,,,,,,,
COLUMBIFORMES_Columbidae_otidiphaps nobilis,,1,,,,,,,,,,,,,,,,,,,,,,,
COLUMBIFORMES_Columbidae_treron vernans,,1,,,,,,,,,,,,,,,,,,,,,,,
GRUIFORMES_Heliornithidae_heliornis fulica,,1,1, , ,,,1,,,,,,,,,,,,,,,,,
GRUIFORMES_Sarothruridae_sarothrura elegans,,1,1,,,,,1,,,,,,,,,,,,,,,,,
GRUIFORMES_Rallidae_rallus limicola,,1,1,,,,, ,,,,,,,,,,,,,,,,,
GRUIFORMES_Rallidae_Gallirallus okinawae,,1,,1,,,,,,,,,,,,,,,,,,,,,
GRUIFORMES_Rallidae_Porzana atra,,1,,,1,,,,,,,,,,,,,,,,,,,,
GRUIFORMES_Rallidae_Fulica atra,,1,,,,,,1,,,,,,,,,,,,,,,,,
GRUIFORMES_Rallidae_himantornis haematopus,,1,,,,,,,,,,,,,,,,,,,,,,,
GRUIFORMES_Psophiidae_psophia crepitans,,1,1,,,,,1,,,,,,,,,,,,,,,,,
GRUIFORMES_Gruidae_Balearica regulorum,,1, ,,,,, ,,,,,,,,,,,,,,,,,
GRUIFORMES_Gruidae_Antigone vipio,,1,1,,,,,,,,,,,,,,,,,,,,,,
GRUIFORMES_Gruidae_Grus japonensis,,1,,,,,,1,,,,,,,,,,,,,,,,,
